0,1,2,3
2018-01-10,30.3651,26.1801,4.1850
2018-01-09,29.7054,25.1338,4.5716
2018-01-08,28.1198,23.9909,4.1289
2018-01-05,26.0515,22.9587,3.0928
2018-01-04,23.4969,22.1855,1.3114
2018-01-03,21.8455,21.8577,-0.0122
2018-01-02,20.5327,21.8607,-1.3281
2017-12-29,20.3148,22.1928,-1.8780
2017-12-28,22.0016,22.6623,-0.6607
2017-12-27,22.4162,22.8274,-0.4112
2017-12-26,23.1203,22.9302,0.1900
2017-12-22,23.8985,22.8827,1.0157
2017-12-21,24.2550,22.6288,1.6262
2017-12-20,24.2320,22.2222,2.0097
2017-12-19,24.3918,21.7198,2.6720
2017-12-18,24.0151,21.0518,2.9633
2017-12-15,22.3000,20.3110,1.9891
2017-12-14,21.2478,19.8137,1.4340
2017-12-13,22.0189,19.4552,2.5637
2017-12-12,21.5791,18.8143,2.7648
2017-12-11,20.5757,18.1231,2.4526
2017-12-08,19.4151,17.5099,1.9052
2017-12-07,18.5159,17.0336,1.4823
2017-12-06,18.5772,16.6631,1.9141
2017-12-05,19.1703,16.1845,2.9857
2017-12-04,19.6178,15.4381,4.1797
2017-12-01,18.8988,14.3932,4.5056
2017-11-30,17.4231,13.2668,4.1563
2017-11-29,14.7404,12.2277,2.5127
2017-11-28,13.2920,11.5995,1.6925
2017-11-27,11.1512,11.1764,-0.0252
2017-11-24,10.8652,11.1827,-0.3175
2017-11-22,10.2403,11.2621,-1.0218
2017-11-21,9.8374,11.5175,-1.6802
2017-11-20,8.9815,11.9376,-2.9561
2017-11-17,9.4782,12.6766,-3.1984
2017-11-16,10.3092,13.4762,-3.1670
2017-11-15,10.5287,14.2680,-3.7393
2017-11-14,12.7958,15.2028,-2.4070
2017-11-13,14.0525,15.8045,-1.7521
2017-11-10,14.8442,16.2425,-1.3984
2017-11-09,15.8974,16.5921,-0.6947
2017-11-08,16.7742,16.7658,0.0084
2017-11-07,16.6557,16.7637,-0.1081
2017-11-06,16.6429,16.7907,-0.1479
2017-11-03,16.3346,16.8277,-0.4931
2017-11-02,16.0384,16.9510,-0.9126
2017-11-01,16.2407,17.1791,-0.9384
2017-10-31,16.3125,17.4137,-1.1012
2017-10-30,16.5844,17.6890,-1.1047
2017-10-27,16.9376,17.9652,-1.0276
2017-10-26,16.3030,18.2221,-1.9191
2017-10-25,17.3605,18.7019,-1.3414
2017-10-24,18.7887,19.0372,-0.2485
2017-10-23,19.1185,19.0994,0.0192
2017-10-20,19.6840,19.0946,0.5894
2017-10-19,19.0777,18.9472,0.1305
2017-10-18,19.3613,18.9146,0.4467
2017-10-17,19.5271,18.8029,0.7243
2017-10-16,19.6482,18.6218,1.0264
2017-10-13,19.6922,18.3652,1.3269
2017-10-12,19.9169,18.0335,1.8834
2017-10-11,20.1421,17.5626,2.5795
2017-10-10,19.6978,16.9178,2.7800
2017-10-09,19.3125,16.2228,3.0897
