timestamp,open,high,low,close,volume,ATR Date,ATR,Boll Date,Boll Mid Band,Boll Upper Band,Boll Lower Band,CCI Date,CCI ,EMA 20 Date,EMA20,MA5 Date,MA5,MA10 Date,MA10,MACD Date,MACD Value,MACD Signal,MACD Hist
6/18/18,2765.79,2774.99,2757.1201,2773.75,3287150000,6/18/18,22.1207,6/18/18,2749.5695,2806.789,2692.3501,6/18/18,85.8538,6/18/18,2753.0093,6/18/18,2779.676,6/18/18,2775.093,6/18/18,22.1454,21.2157,0.9297
6/15/18,2777.78,2782.8101,2761.73,2779.6599,5428790000,6/15/18,22.0884,6/15/18,2746.5305,2804.7378,2688.3233,6/15/18,108.5517,6/15/18,2750.826,6/15/18,2781.326,6/15/18,2772.405,6/15/18,23.1826,20.9832,2.1994
6/14/18,2783.21,2789.0601,2776.52,2782.49,3526890000,6/14/18,22.166,6/14/18,2743.554,2800.7601,2686.3479,6/14/18,133.5415,6/14/18,2747.7909,6/14/18,2781.2,6/14/18,2767.901,6/14/18,23.5675,20.4334,3.1342
6/13/18,2787.9399,2791.47,2774.6499,2775.6299,3779230000,6/13/18,22.838,6/13/18,2740.5525,2795.5279,2685.5772,6/13/18,136.1061,6/13/18,2744.1384,6/13/18,2778.776,6/13/18,2760.1791,6/13/18,23.4279,19.6498,3.7781
6/12/18,2785.6001,2789.8,2778.78,2786.8501,3401010000,6/12/18,23.3009,6/12/18,2737.3435,2791.2361,2683.451,6/12/18,149.5988,6/12/18,2740.8235,6/12/18,2778.1201,6/12/18,2755.0171,6/12/18,23.6074,18.7053,4.9021
6/11/18,2780.1799,2790.21,2780.1699,2782,3232330000,6/11/18,24.2456,6/11/18,2734.5075,2783.4203,2685.5947,6/11/18,153.7277,6/11/18,2735.9785,6/11/18,2770.5101,6/11/18,2745.3181,6/11/18,22.3507,17.4798,4.8709
6/8/18,2765.8401,2779.3899,2763.5901,2779.03,3123210000,6/8/18,25.2506,6/8/18,2731.7935,2775.624,2687.9631,6/8/18,140.0742,6/8/18,2731.1342,6/8/18,2763.4841,6/8/18,2739.2511,6/8/18,20.9154,16.2621,4.6533
6/7/18,2774.8401,2779.8999,2760.1599,2770.3701,3711330000,6/7/18,25.9776,6/7/18,2728.9955,2767.1892,2690.8019,6/7/18,138.4803,6/7/18,2726.0925,6/7/18,2754.6021,6/7/18,2734.1241,6/7/18,19.0816,15.0987,3.9829
6/6/18,2753.25,2772.3899,2748.46,2772.3501,3651640000,6/6/18,26.4574,6/6/18,2725.3665,2760.8413,2689.8917,6/6/18,131.3517,6/6/18,2721.4317,6/6/18,2741.5821,6/6/18,2730.4161,6/6/18,17.3452,14.103,3.2422
6/5/18,2748.46,2752.6101,2739.51,2748.8,3517790000,6/5/18,26.6518,6/5/18,2720.345,2756.2256,2684.4645,6/5/18,103.3164,6/5/18,2716.0719,6/5/18,2731.9141,6/5/18,2725.625,6/5/18,14.675,13.2925,1.3826
6/4/18,2741.6699,2749.1599,2740.54,2746.8701,3376510000,6/4/18,27.6943,6/4/18,2716.5365,2755.5596,2677.5134,6/4/18,107.7747,6/4/18,2712.6268,6/4/18,2720.1261,6/4/18,2724.046,6/4/18,13.4513,12.9468,0.5045
