0,1,2,3
2017-12-28,2663.0390,2703.2874,2622.7907
2017-12-27,2659.9655,2701.6240,2618.3071
2017-12-26,2657.1865,2699.8328,2614.5402
2017-12-22,2653.2325,2700.8712,2605.5938
2017-12-21,2649.1865,2699.5756,2598.7974
2017-12-20,2644.8120,2697.3013,2592.3227
2017-12-19,2640.8010,2694.3993,2587.2027
2017-12-18,2635.8345,2691.7947,2579.8743
2017-12-15,2630.2690,2685.6481,2574.8899
2017-12-14,2625.7605,2680.2499,2571.2711
2017-12-13,2621.3910,2680.5733,2562.2087
2017-12-12,2617.1920,2675.9275,2558.4566
2017-12-11,2613.2285,2669.4075,2557.0495
2017-12-08,2609.3440,2662.7267,2555.9613
2017-12-07,2606.0000,2656.7131,2555.2870
2017-12-06,2603.8700,2652.7445,2554.9955
2017-12-05,2601.9385,2649.6855,2554.1916
2017-12-04,2600.0165,2646.2297,2553.8033
2017-12-01,2597.4365,2640.1898,2554.6832
2017-11-30,2594.3180,2632.3928,2556.2432
2017-11-29,2590.9070,2620.5807,2561.2333
2017-11-28,2588.3665,2613.9866,2562.7464
2017-11-27,2585.6560,2605.0506,2566.2614
2017-11-24,2584.6385,2602.7083,2566.5688
2017-11-22,2582.5375,2601.5934,2563.4817
2017-11-21,2580.5410,2601.3686,2559.7134
2017-11-20,2579.0460,2598.6042,2559.4878
2017-11-17,2578.1880,2598.6144,2557.7617
2017-11-16,2578.0060,2598.4703,2557.5417
2017-11-15,2576.8290,2598.0938,2555.5642
2017-11-14,2576.6610,2598.3577,2554.9643
2017-11-13,2575.6855,2598.6165,2552.7546
2017-11-10,2574.3255,2598.1330,2550.5180
2017-11-09,2572.8690,2598.0703,2547.6677
2017-11-08,2571.1845,2597.4980,2544.8710
2017-11-07,2569.2275,2594.1338,2544.3212
2017-11-06,2567.2275,2591.3464,2543.1085
2017-11-03,2564.9075,2588.2989,2541.5161
2017-11-02,2562.9820,2584.7920,2541.1720
2017-11-01,2561.5930,2582.4465,2540.7395
2017-10-31,2559.5120,2581.1500,2537.8740
2017-10-30,2557.4780,2580.4209,2534.5351
2017-10-27,2555.2925,2580.2117,2530.3733
2017-10-26,2552.2070,2578.8193,2525.5947
2017-10-25,2549.6900,2581.7013,2517.6787
2017-10-24,2547.1845,2583.9580,2510.4111
2017-10-23,2543.5700,2584.9297,2502.2104
2017-10-20,2540.1540,2585.0136,2495.2945
2017-10-19,2536.5045,2581.2384,2491.7707
2017-10-18,2533.4295,2579.1471,2487.7120
2017-10-17,2530.7785,2575.8782,2485.6789
2017-10-16,2528.1430,2572.4064,2483.8796
2017-10-13,2525.4545,2568.7461,2482.1629
2017-10-12,2522.8075,2565.4662,2480.1489
2017-10-11,2520.0420,2562.2182,2477.8659
2017-10-10,2517.1985,2557.1064,2477.2907
2017-10-09,2514.4905,2552.2462,2476.7348
2017-10-06,2511.6595,2548.3983,2474.9208
2017-10-05,2507.2645,2545.9073,2468.6218
2017-10-04,2502.9160,2539.9523,2465.8798
2017-10-03,2499.3060,2536.1355,2462.4766
2017-10-02,2495.4695,2532.7844,2458.1547
2017-09-29,2492.8410,2527.6244,2458.0577
