Close Price,Open Price,High Price,Low Price,Volume,MACD,CCI,ATR,BOLL,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US Dollar Index,Federal Fund Rate
0.751976583,0.744526777,0.778546861,0.781762432,0.217077931,0.417119339,0.473096051,0.3168568,0.529873917,0.603548444,0.69038314,0.593549345,0.738188744,0.664233718,0.593674152,0.670430385,0.668868445,0.270325089,-0.210445566
0.780633858,0.755858188,0.774883396,0.766079073,0.189291428,0.695262592,0.28489789,0.464125338,0.486595801,0.648082371,0.675930524,0.259292924,0.732461508,0.361716119,0.612907613,0.673608195,0.657718552,-0.132672688,-0.196528704
0.788727044,0.750538592,0.756849065,0.799121843,0.207547218,0.210786722,0.574329752,0.472800697,0.508221607,0.636744106,0.678369978,0.576123604,0.739025708,0.456017506,0.356083101,0.606442308,0.643000056,-0.108030137,-0.202920833
,,,,,,,,,,,,,,,,,,
Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
0.773779162,0.750307852,0.770093108,0.782321116,0.204638859,0.441056218,0.444107898,0.417927612,0.508230442,0.629458307,0.681561214,0.476321958,0.736558653,0.493989114,0.520888289,0.650160296,0.656529018,0.009874088,-0.203298367
