0,1,2,3,
0.858953834,0.811045422,1453.950613,1416.1801,0.968872299
0.854467213,0.77807925,1450.413406,1390.1899,
0.840356827,0.80210302,1439.288919,1409.13,
0.841316044,0.816309187,1440.045156,1420.33,
0.844503582,0.791816233,1442.558179,1401.02,
0.837934911,0.811134083,1437.379505,1416.25,
0.846181631,0.766359289,1443.881136,1380.95,
0.823858142,0.756529129,1426.28152,1373.2,
0.811830044,0.705856239,1416.798688,1333.25,
0.791208565,0.695632745,1400.540921,1325.1899,
0.777016819,0.676999962,1389.35229,1310.5,
0.764675558,0.71264222,1379.622563,1338.6,
0.779719293,0.729727546,1391.482894,1352.0699,
0.7791785,0.702507642,1391.056538,1330.61,
0.775805116,0.732124964,1388.396995,1353.96,
0.785081148,0.742703484,1395.710126,1362.3,
0.787451208,0.734471645,1397.578658,1355.8101,
0.783404052,0.763315111,1394.387921,1378.55,
0.791117787,0.78471315,1400.469352,1395.42,
0.797850668,0.766194269,1405.777488,1380.8199,
0.801383138,0.710156141,1408.562452,1336.64,
0.781583488,0.697231066,1392.952606,1326.45,
0.770771801,0.710498611,1384.428781,1336.91,
0.764753759,0.703370159,1379.684216,1331.29,
0.764291644,0.713314476,1379.319889,1339.13,
0.771879077,0.725656084,1385.301745,1348.86,
0.770501316,0.748931366,1384.215532,1367.21,
0.792479992,0.725656084,1401.543301,1348.86,
0.783604562,0.727089385,1394.546001,1349.99,
0.79003042,0.725554611,1399.612083,1348.78,
0.786327124,0.739824199,1396.692441,1360.03,
0.794491112,0.717627063,1403.128848,1342.53,
0.781649292,0.731046817,1393.004485,1353.11,
0.791040242,0.754753358,1400.408216,1371.8,
0.809619129,0.766790548,1415.055625,1381.29,
0.817026675,0.76517967,1420.89566,1380.02,
0.823319018,0.749527645,1425.856481,1367.6801,
0.816292822,0.70253301,1420.317098,1330.63,
0.78702879,0.70343358,1397.245627,1331.34,
0.777989268,0.697611588,1390.118959,1326.75,
0.768177569,0.706427022,1382.383514,1333.7,
0.774939239,0.66918657,1387.714347,1304.34,
0.752616823,0.655272137,1370.115577,1293.37,
0.743845642,0.629903982,1363.200465,1273.37,
0.726501346,0.689874301,1349.526396,1320.65,
0.747512341,0.674805617,1366.091254,1308.77,
0.745165348,0.683316633,1364.240909,1315.48,
0.74584204,0.648638364,1364.774406,1288.14,
0.723867595,0.634000939,1347.449973,1276.6,
0.708537579,0.702672535,1335.363942,1330.74,
0.735501647,0.661677596,1356.622143,1298.42,
0.719706893,0.701112394,1344.169717,1329.51,
0.742198467,0.72694986,1361.90185,1349.88,
0.74830097,0.730894608,1366.713001,1352.99,
0.759645343,0.715851292,1375.656792,1341.13,
0.755509436,0.696355864,1372.396084,1325.76,
0.75030148,0.682986847,1368.290184,1315.22,
0.742568076,0.692474537,1362.193245,1322.7,
0.743768156,0.752698664,1363.139376,1370.1801,
0.77006346,0.749337257,1383.870331,1367.53,
0.774527252,0.75159515,1387.38954,1369.3101,
0.788855612,0.752977587,1398.685876,1370.4,
0.792853177,0.75569198,1401.837516,1372.54,
0.799221098,0.746813125,1406.857922,1365.54,
0.796517432,0.73279722,1404.726378,1354.49,
0.792895794,0.740483771,1401.871115,1360.55,
0.795100272,0.705323507,1403.609103,1332.83,
0.778011143,0.699602862,1390.136205,1328.3199,
0.775403678,0.707353087,1388.080506,1334.4301,
0.778579414,0.745760347,1390.584224,1364.71,
0.803502142,0.74683862,1410.233054,1365.5601,
0.809843361,0.778256954,1415.232408,1390.33,
0.826133311,0.775517193,1428.075241,1388.17,
0.826787949,0.760004439,1428.591351,1375.9399,
0.82158643,0.76506564,1424.490526,1379.9301,
0.825833559,0.776341531,1427.83892,1388.8199,
0.827332318,0.787782696,1429.020526,1397.84,
0.836506546,0.785918137,1436.253395,1396.37,
0.837817788,0.779030556,1437.287166,1390.9399,
0.837712824,0.772244701,1437.204414,1385.59,
0.832478583,0.802369386,1433.07779,1409.34,
0.845927835,0.808153325,1443.681045,1413.9,
0.846179962,0.800022831,1443.87982,1407.49,
0.849925935,0.813683583,1446.833108,1418.26,
0.855389178,0.781098061,1451.140274,1392.5699,
0.836280525,0.787579878,1436.075203,1397.6801,
0.843224525,0.775656718,1441.549784,1388.28,
0.830041707,0.795063357,1431.156581,1403.58,
0.847505987,0.794378417,1444.925245,1403.04,
0.844524324,0.801506868,1442.574532,1408.66,
0.854935586,0.820418701,1450.782667,1423.5699,
0.867911875,0.822676594,1461.013043,1425.35,
0.869457543,0.824300156,1462.231632,1426.63,
0.867980242,0.807519121,1461.066943,1413.4,
0.858190417,0.778738949,1453.348743,1390.71,
0.837403893,0.783355953,1436.960856,1394.35,
0.836469114,0.759992009,1436.223885,1375.9301,
0.824714184,0.771940283,1426.956415,1385.35,
0.829165578,0.778903842,1430.46585,1390.84,
0.828824162,0.788315428,1430.196681,1398.26,
0.838009894,0.791004452,1437.43862,1400.38,
0.839496255,0.772346174,1438.610452,1385.67,
0.825639307,0.762173544,1427.685774,1377.65,
0.812439442,0.76160276,1417.279131,1377.2,
0.802111447,0.795659509,1409.136644,1404.05,
0.820513368,0.740648791,1423.644534,1360.6801,
0.790078104,0.742018544,1399.649676,1361.76,
0.784541905,0.737807303,1395.284992,1358.4399,
0.766594231,0.708697472,1381.135226,1335.49,
0.750130773,0.714253098,1368.1556,1339.87,
0.746600628,0.739824199,1365.372469,1360.03,
0.76266098,0.739963724,1378.03429,1360.14,
0.76515311,0.728281815,1379.99906,1350.9301,
0.759579837,0.711640305,1375.605148,1337.8101,
0.741256177,0.718007585,1361.158958,1342.83,
0.737935603,0.686424359,1358.54105,1317.9301,
0.718516767,0.68651302,1343.231434,1318,
0.716551006,0.681807227,1341.681647,1314.29,
0.710681081,0.691548599,1337.053857,1321.97,
0.712938488,0.64230901,1338.833574,1283.15,
