Close Price,0,1,2,3,4,5,6
1166.36,-28068.56028,-123454.592,615850.8135,-6945467.757,-8709700.91,-8799826.777,-8922694.31
1161.06,-53355.29957,-194205.9979,953178.266,-11498579.51,-14429003.83,-14575282.92,-14772852.23
1114.28,-142798.6769,-420081.5252,2027437.141,-26851641.38,-33724147.42,-34056943.79,-34500753.02
1099.23,-123394.9981,-376115.0507,1817859.894,-23651703.07,-29700360.53,-29994923.09,-30388702.71
1056.89,-141867.2717,-433529.1771,2090640.794,-27119343.21,-34053667.48,-34391692.19,-34843823.46
996.23,-194782.157,-555574.1673,2669849.009,-35848879.29,-45029465.88,-45472129.84,-46061436.36
984.94,-152879.8266,-467608.7158,2251076.324,-29148639.04,-36601109.79,-36964602.84,-37450967.95
909.92,-238893.3203,-661804.3844,3173348.176,-43236308.3,-54315726.92,-54847544.6,-55554137.23
899.22,-280795.9944,-809804.1446,3878105.924,-51634489.9,-64852157.9,-65491212.44,-66343063.6
1003.35,-155830.955,-460793.5969,2217469.696,-29228449.83,-36707420.36,-37070140.61,-37554261.13
998.01,-178549.9481,-525852.5006,2528322.891,-33376345.18,-41917195.36,-42331220.08,-42883717.34
907.84,-276442.6729,-751966.2418,3602166.046,-49550111.96,-62252704.04,-62860654.65,-63667327.42
946.43,-250313.3315,-701109.1309,3360219.45,-45488342.52,-57141500.48,-57701981.84,-58447328.69
940.55,-178183.4818,-509354.9284,2447803.254,-32827707.11,-41234176.26,-41639663.36,-42179568.21
985.4,-179243.7493,-498533.0451,2396241.27,-32627584.56,-40988490.36,-41389883.58,-41923175.52
955.05,-134538.3491,-387504.6522,1868015.511,-25003890.58,-31406463.29,-31715469.38,-32126971.92
896.78,-240566.4978,-659291.9799,3160451.546,-43311946.97,-54413587.06,-54945524.04,-55651678.92
908.11,-321497.0345,-869235.7991,4159218.637,-57364500.63,-72071968.02,-72775323.09,-73708233.03
876.77,-298956.8111,-807289.3679,3863802.658,-53336593.72,-67011904,-67665720.6,-68532815.81
848.92,-301940.9486,-804994.6269,3852029.307,-53552790.51,-67287748.66,-67943001.26,-68811135.4
940.51,-222779.1523,-624316.4073,2993920.48,-40532953.7,-50916764.83,-51416199.39,-52080277.96
930.09,-276059.3314,-756092.3179,3621653.054,-49624509.57,-62343991.06,-62953490.62,-63762631.78
954.09,-268409.0769,-728524.7165,3490367.715,-48074784.47,-60399903.05,-60989560.52,-61771779.88
968.75,-125339.443,-376975.1447,1818328.419,-23789369.78,-29874693.52,-30170530.61,-30565707.63
966.3,-195298.2844,-531639.2674,2553471.01,-35168890.25,-44185493.13,-44616858.29,-45189030.09
1005.75,-138135.051,-400446.7477,1930283.615,-25744065.35,-32335150.39,-32653629.33,-33077909.58
952.77,-131728.1799,-383541.1797,1849511.768,-24616860.34,-30918760.17,-31223454.09,-31629504.49
904.88,-171932.4921,-489164.979,2351174.598,-31616685.92,-39714030.01,-40104293.59,-40623683.37
930.99,-91248.95463,-278336.7883,1347497.852,-17545923.69,-22033364.52,-22251841.53,-22543833.75
919.21,-53370.30331,-181280.7974,885824.4462,-11003742.67,-13811980.45,-13950800.67,-14137524.01
898.95,-72749.23571,-233165.0089,1132321.413,-14406538.71,-18087180.83,-18267717.14,-18509772.71
852.3,-59260.08771,-207003.6372,1007384.103,-12301959.15,-15438739.86,-15594701.4,-15805026.63
911.29,-1271.345108,-83787.4489,422295.0315,-3022228.563,-3766426.712,-3812498.948,-3879792.883
873.29,-110467.0027,-334840.2661,1616010.181,-21064439.63,-26451816.97,-26714024.13,-27064479.79
850.75,-133878.4745,-383383.1186,1845930.16,-24764316.12,-31106124.49,-31411990.75,-31819183.61
859.12,-53689.47827,-201952.9878,983291.3897,-11598121.94,-14550281.04,-14698797.62,-14900124.28
806.58,-150105.7528,-438970.9137,2110364.386,-27962056.49,-35118625.42,-35465145.08,-35927304.05
752.44,-209865.6494,-610956.2209,2928377.126,-38813236.31,-48746896.77,-49227850.64,-49869355.32
800.03,-189741.938,-565061.148,2710145.037,-35498329.37,-44578734.04,-45020034.84,-45609599.5
851.81,-93962.63772,-312969.4876,1511377.572,-18774934.04,-23565833.29,-23802696.75,-24121457.17
857.39,-39444.7646,-169380.0091,828420.4933,-9250244.395,-11598095.09,-11718506.71,-11883027.33
887.68,-13074.58467,-93100.99972,465437.4537,-4446924.419,-5565625.659,-5626489.7,-5711542.347
896.24,26884.57467,35013.89453,-144826.0329,3199233.004,4032140.729,4067514.384,4111884.015
816.21,2258.781815,-57574.30558,296131.5615,-1896442.301,-2358857.6,-2389144.947,-2434118.936
848.81,-10738.56549,-90741.09998,453521.8627,-4129234.128,-5164757.709,-5222220.639,-5303114.244
870.74,37445.35589,27761.83927,-109702.011,4043523.747,5107780.54,5149219.446,5198630.344
845.22,-19914.99697,-110580.7343,548302.5313,-5620616.912,-7040555.71,-7115716.686,-7219655.935
876.07,-11886.07337,-93688.84955,468149.5855,-4341547.722,-5431642.837,-5491680.717,-5575945.361
909.7,42935.74794,37900.2691,-156883.3776,4857488.234,6132212.346,6183098.269,6244701.971
