close,open,high,low,volume,Slow K Stoch,Slow D Stock,EMA20,MA5,MA10,WVAD,RSI,TEDRATE,TradeWeightedUSDollarIndex,VIX close
0.994541168,0.992462183,0.992197857,0.993201638,-0.356070229,-0.243094158,0.220756174,0.987845705,0.989999042,0.988616368,0.148252873,0.15388451,0.179418588,,-0.245241717
0.993849636,0.993007364,0.991537257,0.994387207,-0.022939077,0.240244888,0.231774964,0.987114075,0.989598933,0.98784377,0.010443435,-0.207626229,0.263617563,0.606312699,0.206731791
0.994826068,0.99132958,0.992415654,0.992694336,-0.578559146,-0.273451775,0.204357616,0.987926688,0.991522976,0.98792174,0.283211989,0.304194623,,0.535564128,-0.005248747
,,,,,,,,,,,,,,
AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE
0.994405624,0.992266375,0.992050256,0.993427727,-0.319189484,-0.092100348,0.218962918,0.987628822,0.99037365,0.988127292,0.147302766,0.083484301,0.221518076,0.570938414,-0.014586224
,,,,,,,,,,,,,,
close,open,high,low,,,,ema20,ma5,ma10,,,,,
